source_set,source_path,filename,extension,width,height,has_alpha,alpha_bounding_box,visible_pixel_bounding_box,transparent_percentage,mostly_blank,visible_coverage_percentage,likely_individual_icon,likely_atlas_sheet,likely_ui_panel_large_graphic,likely_world_decal,dominant_filename_keywords,inferred_theme_keywords,import_sidecar_exists
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_10_Female.png,Accessory_10_Female.png,.png,512,512,True,"[131, 2, 429, 508]","[131, 2, 429, 508]",85.656,False,14.344,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_10_Male.png,Accessory_10_Male.png,.png,512,512,True,"[85, 10, 393, 508]","[85, 10, 393, 508]",84.352,False,15.648,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_11_Female.png,Accessory_11_Female.png,.png,512,512,True,"[209, 6, 369, 508]","[209, 6, 369, 508]",85.211,False,14.789,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_11_Male.png,Accessory_11_Male.png,.png,512,512,True,"[171, 2, 346, 507]","[171, 2, 346, 507]",83.689,False,16.311,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_12_Female.png,Accessory_12_Female.png,.png,512,512,True,"[165, 1, 295, 507]","[165, 1, 295, 507]",86.818,False,13.182,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_12_Male.png,Accessory_12_Male.png,.png,512,512,True,"[164, 4, 318, 504]","[164, 4, 318, 504]",85.738,False,14.262,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_13_Female.png,Accessory_13_Female.png,.png,512,512,True,"[71, 17, 390, 489]","[71, 17, 390, 489]",61.619,False,38.381,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_13_Male.png,Accessory_13_Male.png,.png,512,512,True,"[82, 35, 380, 475]","[82, 35, 380, 475]",67.474,False,32.526,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_14_Female.png,Accessory_14_Female.png,.png,512,512,True,"[93, 9, 406, 501]","[93, 9, 406, 501]",60.274,False,39.726,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_14_Male.png,Accessory_14_Male.png,.png,512,512,True,"[57, 11, 400, 508]","[57, 11, 400, 508]",58.654,False,41.346,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_1_Female.png,Accessory_1_Female.png,.png,512,512,True,"[44, 22, 479, 491]","[44, 22, 479, 491]",79.959,False,20.041,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_1_Male.png,Accessory_1_Male.png,.png,512,512,True,"[67, 41, 468, 445]","[67, 41, 468, 445]",83.591,False,16.409,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_2_Female.png,Accessory_2_Female.png,.png,512,512,True,"[89, 5, 385, 507]","[89, 5, 385, 507]",85.907,False,14.093,True,False,False,True,"[""accessory"", ""door"", ""female"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
cyber_city_icons,res://assets/tilesets/cyber_city_core_tilesets/Store_Items/CyberCity_Icons/CyberCity_Icons/Accessory_2_Male.png,Accessory_2_Male.png,.png,512,512,True,"[46, 12, 406, 502]","[46, 12, 406, 502]",84.141,False,15.859,True,False,False,True,"[""accessory"", ""door"", ""male"", ""png""]","[""cyber"", ""scheme_card"", ""screen_graphic"", ""world_decal""]",True
