object_id,source_set,original_asset_id,source_png_path,filename,width,height,object_category,recommended_container,recommended_z_index,recommended_default_scale,pivot_mode,quality_classification,rotation_warning,notes,palette_warning,source_exists
pvg_obj_core_foreground_pipe1_2_0560,core,pvg_tileset_atlas_pipe1_2_5aaacb35,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_Core_Tiles_2/CyberCity_Core_Tiles_2/Pipe1_2.png,Pipe1_2.png,526,30,foreground,ForegroundObjects,160,1.0,VISIBLE_ALPHA_CENTER,SPRITE_STAMP_BETTER,"no, baked perspective warning",Use as an individually transformable Node2D/Sprite2D object; visual-only.,"no, baked perspective warning",True
pvg_obj_central_security_furniture_chair1_1_0935,central_security,CS_0265,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_1.png,Chair1_1.png,54,65,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair1_3_0939,central_security,CS_0267,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_3.png,Chair1_3.png,65,66,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair1_5_0929,central_security,CS_0269,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_5.png,Chair1_5.png,59,54,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair1_6_0950,central_security,CS_0270,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_6.png,Chair1_6.png,59,77,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair1_7_0940,central_security,CS_0271,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_7.png,Chair1_7.png,67,55,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair1_8_0951,central_security,CS_0272,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair1_8.png,Chair1_8.png,72,77,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair2_1_0941,central_security,CS_0273,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair2_1.png,Chair2_1.png,52,70,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair2_3_0942,central_security,CS_0275,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair2_3.png,Chair2_3.png,58,70,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
pvg_obj_central_security_furniture_chair2_5_0931,central_security,CS_0277,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Chair2_5.png,Chair2_5.png,48,62,furniture,OccludableObjects,90,1.0,VISIBLE_ALPHA_CENTER,READY_TO_PAINT,maybe,Use as an individually transformable Node2D/Sprite2D object; visual-only.,,True
