asset_id,path,filename,relative_folder,folder,filename_family,candidate_inclusion_reason,width,height,has_alpha,alpha_bbox,alpha_bbox_width,alpha_bbox_height,transparent_pixel_percentage,visible_pixel_coverage,aspect_ratio,mostly_blank,unusually_large,unusually_small,candidate_pool
CS_0001,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_1.png,Barrel1_1.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,68,80,True,"[0, 0, 68, 80]",68,80,26.158,0.73842,0.85,False,False,False,E_REVIEW_UNKNOWN
CS_0002,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_2.png,Barrel1_2.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,69,80,True,"[0, 0, 69, 80]",69,80,26.938,0.73062,0.8625,False,False,False,E_REVIEW_UNKNOWN
CS_0003,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_3.png,Barrel1_3.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,66,80,True,"[0, 0, 66, 80]",66,80,23.693,0.76307,0.825,False,False,False,E_REVIEW_UNKNOWN
CS_0004,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_4.png,Barrel1_4.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,67,82,True,"[0, 0, 67, 82]",67,82,26.829,0.73171,0.8171,False,False,False,E_REVIEW_UNKNOWN
CS_0005,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_5.png,Barrel1_5.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,66,80,True,"[0, 0, 66, 80]",66,80,23.428,0.76572,0.825,False,False,False,E_REVIEW_UNKNOWN
CS_0006,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_6.png,Barrel1_6.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,67,83,True,"[0, 0, 67, 83]",67,83,27.567,0.72433,0.8072,False,False,False,E_REVIEW_UNKNOWN
CS_0007,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_7.png,Barrel1_7.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,67,81,True,"[0, 0, 67, 81]",67,81,26.092,0.73908,0.8272,False,False,False,E_REVIEW_UNKNOWN
CS_0008,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrel1_8.png,Barrel1_8.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrel1,review_unknown_visually_promising,68,82,True,"[0, 0, 68, 82]",68,82,27.744,0.72256,0.8293,False,False,False,E_REVIEW_UNKNOWN
CS_0009,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_1.png,Barrier1_1.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,306,168,True,"[0, 0, 306, 168]",306,168,36.769,0.63231,1.8214,False,False,False,B_WALL_SECURITY_BARRIER
CS_0010,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_2.png,Barrier1_2.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,127,262,True,"[0, 0, 127, 262]",127,262,38.553,0.61447,0.4847,False,False,False,B_WALL_SECURITY_BARRIER
CS_0011,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_3.png,Barrier1_3.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,305,139,True,"[0, 0, 305, 139]",305,139,49.058,0.50942,2.1942,False,False,False,B_WALL_SECURITY_BARRIER
CS_0012,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_4.png,Barrier1_4.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,148,262,True,"[0, 0, 148, 262]",148,262,43.187,0.56813,0.5649,False,False,False,B_WALL_SECURITY_BARRIER
CS_0013,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_5.png,Barrier1_5.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,221,223,True,"[0, 0, 221, 223]",221,223,44.429,0.55571,0.991,False,False,False,B_WALL_SECURITY_BARRIER
CS_0014,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_6.png,Barrier1_6.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,229,224,True,"[0, 0, 229, 224]",229,224,45.62,0.5438,1.0223,False,False,False,B_WALL_SECURITY_BARRIER
CS_0015,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_7.png,Barrier1_7.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,226,206,True,"[0, 0, 226, 206]",226,206,58.768,0.41232,1.0971,False,False,False,B_WALL_SECURITY_BARRIER
CS_0016,res://assets/tilesets/cyber_city_core_tilesets/CyberCity_CentralSecurity_Tiles/CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1/Barrier1_8.png,Barrier1_8.png,CyberCity_CentralSecurity_Tiles_1/CyberCity_CentralSecurity_Tiles_1,CyberCity_CentralSecurity_Tiles_1,Barrier1,wall_security_barrier,228,211,True,"[0, 0, 228, 211]",228,211,55.791,0.44209,1.0806,False,False,False,B_WALL_SECURITY_BARRIER
